TYPE,FATAL CRASH #,# of Fatalities,CASE NUMBER,LOCATION,AREA,Date,Month,Day,Hour,Time,Related,charge,Killed: driver/pass,Speeding,Ran Red Light,DL Status,IMPAIRED TYPE,restraint / helmet,TYPE OF ROAD,FTSRA,X COORD,Y COORD
Motor Vehicle,1,1,15-0061199,600 Blk E Koenig Lane,ID,01/06/2015,Jan,Tues,17,5:15 PM,MV/MV,DOO,driver,Y,N,ok,DRIVER,no seatbelt,High-use roadway,no,-97.715944,30.32067
Pedestrian,2,1,15-71386,12900 Blk N IH35 SB,ED,01/07/2015,Jan,Wed,18,6:36 PM,MV/Ped,DOO,ped,N,N,ok,none,n/a,IH35,No,-97.673245,30.385484
Pedestrian,3,1,15-100275,7400 Blk E US Hwy 290 EB,ID,01/10/2015,Jan,Sat,3,3:10 AM,MV/Ped,DOO,ped,N,N,unk (FTSRA),PED,n/a,Other highway,Yes,-97.67851,30.323619
Motorcycle,4,1,15-131517,4700 Blk E Riverside Dr,HE,01/13/2015,Jan,Tues,21,9:30 PM,MV/MC,FTYROW to MC,motorcyclist,N,N,no motorcycle license,none,helmet,High-use roadway,No,-97.718725,30.232049
Motor Vehicle,5,1,15-150104,Berkman Dr/Cloverleaf Dr,ID,01/15/2015,Jan,Thu,1,1:41 AM,MV/MV,ciminally neg homicide,driver other car,Y,N,ok,DRIVER,seatbelt worn,Local Street,No,-97.695498,30.309187
Pedestrian,6,1,15-181372,8400 S. Congress Ave,FR,01/18/2015,Jan,Sun,19,7:37 PM,MV/Ped,DOO,ped,N,N,ok,PED,n/a,High-use roadway,no,-97.784913,30.174156
Motor Vehicle,7,1,15-181537,2900 N. Lamar,BA,01/18/2015,Jan,Sun,21,9:23 PM,MV/ROR,DOO,driver,Y,N,ok,DRIVER,seatbelt worn,High-use roadway,no,-97.748399,30.298288
Pedestrian,8,1,15-0201458,1030 Norwood Park Blvd,ID,01/20/2015,Jan,Tues,18,6:36 PM,MV/Ped,DOO,ped,N,N,ok,none,n/a,Local Street,no,-97.692509,30.338413
Motor Vehicle,9,1,15-240366,7300 Blk Burleson Rd,HE,01/24/2015,Jan,Sat,4,4:17 AM,MV/MV,DOO,driver,N,N,ok,DRIVER,seatbelt worn,High-use roadway,no,-97.701386,30.194606
Motor Vehicle,10,1,15-271694,8100 Blk Research Blvd,ID,01/27/2015,Jan,Tues,21,9:42 PM,MV/FO,No Charge,driver,N,N,ok,none,unknown,Other highway,no,-97.713545,30.351126
Motor Vehicle,11,1,15-0090206,12600 Blk N IH35 SB Svrd,ED,01/09/2015,Jan,Fri,2,2:58 AM,MV/FO,DOO,driver,Y,N,ok,DRIVER,unknown,IH35,no,-97.6745,30.409123
Pedestrian,12,1,15-0420153,9700 Blk Lamar,ED,02/11/2015,Feb,Wed,2,2:46 AM,MV/Ped,FTYROW to ped,ped,N,N,ok,none,n/a,High-use roadway,No,-97.694587,30.36736
Motor Vehicle,13,1,15-0430844,1700 Blk S. Capital of Texas Hwy (Loop 360),DA,02/12/2015,Feb,Thu,12,12:23 PM,MV/MV,DOO,driver,N,N,ok,none,seatbelt worn,Other highway,No,-97.817727,30.271634
Motor Vehicle,14,1,15-0460146,5800 Blk of Loyola Ln,CH,02/15/2015,Feb,Sun,1,1:06 AM,MV/FO,DOO,driver,Y,N,no DL,DRIVER,no seatbelt,Local Street,No,-97.657145,30.303036
Motor Vehicle,15,1,15-0530465,2100  W Parmer Ln,AD,02/22/2015,Feb,Sun,6,6:13 AM,MV/MV,FTSRA,driver other car,N,N,ok,none,seatbelt worn,High-use roadway,Yes,-97.695888,30.415821
Motor Vehicle,16,1,15-540076,7100 Blk N IH 35 frontage,ID,02/23/2015,Feb,Mon,1,1:17 AM,MV/FO,DOO,driver,N,N,suspended,DRIVER,no seatbelt,IH35,No,-97.703825,30.332368
